,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102.0,321.0
1,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176.0,641.0
2,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83.0,300.0
3,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
4,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213.0,1278.0
5,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52.0,90.17
6,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266.0,1763.0
7,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57
8,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12
9,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06
10,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22.0,582.0
11,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198.0,976.0
12,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10.0
13,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22
14,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593.0,3425.0
15,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779.0,31863.0
16,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531.0,12073.0
17,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718.0,27033.0
18,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62
19,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,957.57,8582.0
20,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791.0,20118.0
21,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,86.7,96.4
22,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,657.0,7968.0
23,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82
24,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,1524.0,10882.0
25,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7
26,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,1530.0,11558.0
27,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66
28,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,1912.1,17374.4
29,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98
30,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,1656.8,10251.13
31,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64
32,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,483.0,4150.0
33,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788.0
34,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,73.0,253.0
35,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,360.0,5517.0
36,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800.0,4900.0
37,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600.0,75400.0
38,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600.0,2400.0
39,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000.0,37300.0
40,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300.0,6700.0
41,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300.0,96800.0
42,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300.0,1600.0
43,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600.0,63900.0
44,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,3358.0,9540.0
