,State_Name,District_Name,Season,Crop,Area,Production
0,0,423,1,10,102.0,321.0
1,0,423,4,0,176.0,641.0
2,0,423,1,10,83.0,300.0
3,0,423,1,10,189.2,510.84
4,0,423,4,0,213.0,1278.0
5,0,423,1,10,52.0,90.17
6,0,423,4,0,266.0,1763.0
7,0,423,1,10,52.94,72.57
8,0,423,4,0,66.42,404.12
9,0,423,1,10,2.09,12.06
10,0,423,4,0,22.0,582.0
11,0,423,4,0,198.0,976.0
12,0,423,0,10,3.5,10.0
13,0,423,2,6,3.84,18.22
14,0,423,4,0,593.0,3425.0
15,0,425,1,10,10779.0,31863.0
16,0,425,4,0,1531.0,12073.0
17,0,425,1,10,9718.0,27033.0
18,0,425,1,10,6854.3,18995.62
19,0,425,4,0,957.57,8582.0
20,0,425,0,10,6791.0,20118.0
21,0,425,2,6,86.7,96.4
22,0,425,4,0,657.0,7968.0
23,0,554,1,10,10695.8,31600.82
24,0,554,4,0,1524.0,10882.0
25,0,554,1,10,10509.37,30760.7
26,0,554,4,0,1530.0,11558.0
27,0,554,1,10,10681.98,29119.66
28,0,554,4,0,1912.1,17374.4
29,0,554,1,10,8683.38,25870.98
30,0,554,4,0,1656.8,10251.13
31,0,554,1,10,921.87,2539.64
32,0,554,4,0,483.0,4150.0
33,0,554,0,10,1595.5,3788.0
34,0,554,2,6,73.0,253.0
35,0,554,4,0,360.0,5517.0
36,1,24,1,6,2800.0,4900.0
37,1,24,1,10,35600.0,75400.0
38,1,24,2,6,600.0,2400.0
39,1,24,2,10,18000.0,37300.0
40,1,24,1,6,3300.0,6700.0
41,1,24,1,10,38300.0,96800.0
42,1,24,2,6,300.0,1600.0
43,1,24,2,10,26600.0,63900.0
44,1,24,1,6,3358.0,9540.0
45,1,24,1,10,37991.0,105082.0
46,1,24,2,6,455.0,2203.0
47,1,24,2,10,20258.0,45669.0
48,1,24,1,6,3475.0,9049.0
49,1,24,1,10,39905.0,117680.0
50,1,24,2,6,399.0,2148.0
51,1,24,2,10,22099.0,57236.0
52,1,24,4,0,769.0,11693.0
53,1,24,1,6,2667.0,7129.0
54,1,24,1,10,32878.0,95609.0
55,1,24,2,6,447.0,2893.0
56,1,24,2,10,38119.0,108906.0
57,1,24,4,0,1582.0,462.0
58,1,24,1,6,3541.0,3431.0
59,1,24,1,10,29066.0,66329.0
60,1,24,2,6,1288.0,8933.0
61,1,24,2,10,10960.0,20462.0
62,1,24,4,0,19.0,1006.0
63,1,24,4,3,111.0,2075.0
64,1,24,4,7,3968.0,26176.0
65,1,24,4,8,13767.0,112541.0
66,1,24,4,9,1544.0,201409.0
67,1,24,1,6,6246.0,10718.0
68,1,24,1,10,17515.0,44891.0
69,1,24,2,6,1212.0,6787.0
70,1,24,2,10,10826.0,25463.0
71,1,24,4,0,36.0,1302.0
72,1,24,4,3,118.0,2048.0
73,1,24,4,7,3935.0,58337.0
