,N,P,K,temperature,humidity,rainfall,label
0,90,42,43,20.87974371,82.00274423,202.9355362,rice
1,85,58,41,21.77046169,80.31964408,226.6555374,rice
2,60,55,44,23.00445915,82.3207629,263.9642476,rice
3,74,35,40,26.49109635,80.15836264,242.8640342,rice
4,78,42,42,20.13017482,81.60487287,262.7173405,rice
5,69,37,42,23.05804872,83.37011772,251.0549998,rice
6,69,55,38,22.70883798,82.63941394,271.3248604,rice
7,94,53,40,20.27774362,82.89408619,241.9741949,rice
8,89,54,38,24.51588066,83.5352163,230.4462359,rice
9,68,58,38,23.22397386,83.03322691,221.2091958,rice
10,91,53,40,26.52723513,81.41753846,264.6148697,rice
11,90,46,42,23.97898217,81.45061596,250.0832336,rice
12,78,58,44,26.80079604,80.88684822,284.4364567,rice
13,93,56,36,24.01497622,82.05687182,185.2773389,rice
14,94,50,37,25.66585205,80.66385045,209.5869708,rice
15,60,48,39,24.28209415,80.30025587,231.0863347,rice
16,85,38,41,21.58711777,82.7883708,276.6552459,rice
17,91,35,39,23.79391957,80.41817957,206.2611855,rice
18,77,38,36,21.8652524,80.1923008,224.5550169,rice
19,88,35,40,23.57943626,83.58760316,291.2986618,rice
20,89,45,36,21.32504158,80.47476396,185.4974732,rice
21,76,40,43,25.15745531,83.11713476,231.3843163,rice
22,67,59,41,21.94766735,80.97384195,213.3560921,rice
23,83,41,43,21.0525355,82.67839517,233.1075816,rice
24,98,47,37,23.48381344,81.33265073,224.0581164,rice
25,66,53,41,25.0756354,80.52389148,257.0038865,rice
26,97,59,43,26.35927159,84.04403589,271.3586137,rice
27,97,50,41,24.52922681,80.54498576,260.2634026,rice
28,60,49,44,20.77576147,84.49774397,240.0810647,rice
29,84,51,35,22.30157427,80.64416466,197.9791215,rice
30,73,57,41,21.44653958,84.94375962,272.2017204,rice
31,92,35,40,22.17931888,80.33127223,200.0882787,rice
32,85,37,39,24.52783742,82.73685569,224.6757231,rice
33,98,53,38,20.26707606,81.63895217,270.4417274,rice
34,88,54,44,25.7354293,83.88266234,233.1321372,rice
35,95,55,42,26.79533926,82.1480873,193.3473987,rice
36,99,57,35,26.75754171,81.17734011,272.2999056,rice
37,95,39,36,23.86330467,83.15250801,285.2493645,rice
38,60,43,44,21.01944696,82.95221726,298.4018471,rice
39,63,44,41,24.17298839,83.7287574,257.0343554,rice
40,62,42,36,22.78133816,82.06719137,248.7183228,rice
41,64,45,43,25.62980105,83.52842314,209.9001977,rice
42,83,60,36,25.59704938,80.14509262,200.834898,rice
43,82,40,40,23.83067496,84.81360127,298.5601175,rice
44,85,52,45,26.31355498,82.36698992,265.5355937,rice
45,91,35,38,24.8972823,80.52586088,183.6793207,rice
46,76,49,42,24.958779,84.47963372,196.9560008,rice
47,74,39,38,23.24113501,84.59201843,233.0453455,rice
48,79,43,39,21.66628296,80.70960551,210.8142087,rice
49,88,55,45,24.63544858,80.41363018,253.7202781,rice
50,60,36,43,23.43121862,83.06310136,219.9048349,rice
51,76,60,39,20.0454142,80.3477562,208.5810155,rice
52,93,56,42,23.85724032,82.22572988,195.0948311,rice
53,65,60,43,21.97199397,81.89918197,227.3637009,rice
54,95,52,36,26.22916897,83.83625819,286.5083725,rice
55,75,38,39,23.44676801,84.79352417,283.9338466,rice
56,74,54,38,25.65553461,83.47021081,217.3788583,rice
57,91,36,45,24.44345477,82.45432595,267.9761948,rice
58,71,46,40,20.2801937,82.1235421,191.9535738,rice
59,99,55,35,21.7238313,80.2389895,277.9626192,rice
60,72,40,38,20.41447029,82.20802629,245.1511304,rice
61,83,58,45,25.75528612,83.51827127,245.6626799,rice
62,93,58,38,20.61521424,83.77345559,279.5451717,rice
